ENTREZID	SYMBOL	ENSEMBL
1371	CPOX	ENSG00000080819
1373	CPS1	ENSG00000021826
1374	CPT1A	ENSG00000110090
1375	CPT1B	ENSG00000205560
1376	CPT2	ENSG00000157184
1384	CRAT	ENSG00000095321
1431	CS	ENSG00000062485
1491	CTH	ENSG00000116761
1503	CTPS1	ENSG00000171793
1543	CYP1A1	ENSG00000140465
1544	CYP1A2	ENSG00000140505
1545	CYP1B1	ENSG00000138061
1548	CYP2A6	ENSG00000255974
1549	CYP2A7	ENSG00000198077
1551	CYP3A7	ENSG00000160870
1553	CYP2A13	ENSG00000197838
1555	CYP2B6	ENSG00000197408
1557	CYP2C19	ENSG00000165841
1558	CYP2C8	ENSG00000138115
1559	CYP2C9	ENSG00000138109
1562	CYP2C18	ENSG00000108242
1565	CYP2D6	ENSG00000283284
1565	CYP2D6	ENSG00000100197
1565	CYP2D6	ENSG00000275211
1565	CYP2D6	ENSG00000272532
1565	CYP2D6	ENSG00000280905
1565	CYP2D6	ENSG00000282966
1571	CYP2E1	ENSG00000130649
1572	CYP2F1	ENSG00000197446
1573	CYP2J2	ENSG00000134716
1576	CYP3A4	ENSG00000160868
1577	CYP3A5	ENSG00000106258
1581	CYP7A1	ENSG00000167910
1582	CYP8B1	ENSG00000180432
1583	CYP11A1	ENSG00000140459
1583	CYP11A1	ENSG00000288362
1584	CYP11B1	ENSG00000160882
1585	CYP11B2	ENSG00000179142
1586	CYP17A1	ENSG00000148795
1588	CYP19A1	ENSG00000137869
1589	CYP21A2	ENSG00000231852
1589	CYP21A2	ENSG00000198457
1589	CYP21A2	ENSG00000206338
1589	CYP21A2	ENSG00000235134
1589	CYP21A2	ENSG00000232414
1589	CYP21A2	ENSG00000233151
1591	CYP24A1	ENSG00000019186
1592	CYP26A1	ENSG00000095596
1593	CYP27A1	ENSG00000135929
1594	CYP27B1	ENSG00000111012
1595	CYP51A1	ENSG00000001630
1603	DAD1	ENSG00000129562
1606	DGKA	ENSG00000065357
1607	DGKB	ENSG00000136267
1608	DGKG	ENSG00000058866
1609	DGKQ	ENSG00000145214
1610	DAO	ENSG00000110887
1615	DARS1	ENSG00000115866
1621	DBH	ENSG00000123454
1629	DBT	ENSG00000137992
1632	ECI1	ENSG00000167969
1633	DCK	ENSG00000156136
1635	DCTD	ENSG00000129187
1638	DCT	ENSG00000080166
1644	DDC	ENSG00000132437
1645	AKR1C1	ENSG00000187134
1646	AKR1C2	ENSG00000151632
1650	DDOST	ENSG00000244038
1716	DGUOK	ENSG00000114956
1717	DHCR7	ENSG00000172893
1718	DHCR24	ENSG00000116133
1719	DHFR	ENSG00000228716
1723	DHODH	ENSG00000102967
1727	CYB5R3	ENSG00000100243
1728	NQO1	ENSG00000181019
1737	DLAT	ENSG00000150768
1738	DLD	ENSG00000091140
1743	DLST	ENSG00000119689
1757	SARDH	ENSG00000123453
1786	DNMT1	ENSG00000130816
1788	DNMT3A	ENSG00000119772
1789	DNMT3B	ENSG00000088305
1798	DPAGT1	ENSG00000172269
1801	DPH1	ENSG00000108963
1806	DPYD	ENSG00000188641
1807	DPYS	ENSG00000147647
1841	DTYMK	ENSG00000168393
1890	TYMP	ENSG00000025708
1892	ECHS1	ENSG00000127884
1962	EHHADH	ENSG00000113790
2023	ENO1	ENSG00000074800
2026	ENO2	ENSG00000111674
2027	ENO3	ENSG00000108515
2052	EPHX1	ENSG00000143819
2053	EPHX2	ENSG00000120915
2058	EPRS1	ENSG00000136628
2146	EZH2	ENSG00000106462
2180	ACSL1	ENSG00000151726
2181	ACSL3	ENSG00000123983
2182	ACSL4	ENSG00000068366
2184	FAH	ENSG00000103876
2193	FARSA	ENSG00000179115
2194	FASN	ENSG00000169710
2203	FBP1	ENSG00000165140
2222	FDFT1	ENSG00000284967
2222	FDFT1	ENSG00000079459
2224	FDPS	ENSG00000160752
2235	FECH	ENSG00000066926
2271	FH	ENSG00000091483
2326	FMO1	ENSG00000010932
2328	FMO3	ENSG00000007933
2339	FNTA	ENSG00000168522
2342	FNTB	ENSG00000257365
2356	FPGS	ENSG00000136877
2395	FXN	ENSG00000165060
2531	KDSR	ENSG00000119537
2538	G6PC1	ENSG00000131482
2539	G6PD	ENSG00000160211
2548	GAA	ENSG00000171298
2571	GAD1	ENSG00000128683
2572	GAD2	ENSG00000136750
2581	GALC	ENSG00000054983
2582	GALE	ENSG00000117308
2584	GALK1	ENSG00000108479
2588	GALNS	ENSG00000141012
2590	GALNT2	ENSG00000143641
2591	GALNT3	ENSG00000115339
2592	GALT	ENSG00000213930
2593	GAMT	ENSG00000130005
2597	GAPDH	ENSG00000111640
2617	GARS1	ENSG00000106105
2618	GART	ENSG00000159131
2618	GART	ENSG00000262473
2628	GATM	ENSG00000171766
2629	GBA	ENSG00000177628
2629	GBA	ENSG00000262446
2632	GBE1	ENSG00000114480
2639	GCDH	ENSG00000105607
2643	GCH1	ENSG00000131979
2645	GCK	ENSG00000106633
2653	GCSH	ENSG00000140905
2673	GFPT1	ENSG00000198380
2677	GGCX	ENSG00000115486
2678	GGT1	ENSG00000286070
2678	GGT1	ENSG00000100031
2683	B4GALT1	ENSG00000086062
2686	GGT7	ENSG00000131067
2687	GGT5	ENSG00000099998
2710	GK	ENSG00000198814
2712	GK2	ENSG00000196475
2717	GLA	ENSG00000102393
2720	GLB1	ENSG00000170266
2729	GCLC	ENSG00000001084
2730	GCLM	ENSG00000023909
2731	GLDC	ENSG00000178445
2739	GLO1	ENSG00000124767
2744	GLS	ENSG00000115419
2746	GLUD1	ENSG00000148672
2752	GLUL	ENSG00000135821
2762	GMDS	ENSG00000112699
2766	GMPR	ENSG00000137198
2799	GNS	ENSG00000135677
2805	GOT1	ENSG00000120053
2806	GOT2	ENSG00000125166
2819	GPD1	ENSG00000167588
2820	GPD2	ENSG00000115159
2821	GPI	ENSG00000282019
2821	GPI	ENSG00000105220
2875	GPT	ENSG00000167701
2876	GPX1	ENSG00000233276
2877	GPX2	ENSG00000176153
2878	GPX3	ENSG00000211445
2879	GPX4	ENSG00000167468
2882	GPX7	ENSG00000116157
2936	GSR	ENSG00000104687
2937	GSS	ENSG00000100983
2938	GSTA1	ENSG00000243955
2939	GSTA2	ENSG00000244067
2940	GSTA3	ENSG00000174156
2941	GSTA4	ENSG00000170899
2944	GSTM1	ENSG00000134184
2946	GSTM2	ENSG00000213366
2947	GSTM3	ENSG00000134202
2948	GSTM4	ENSG00000168765
2949	GSTM5	ENSG00000134201
2950	GSTP1	ENSG00000084207
2952	GSTT1	ENSG00000277656
2953	GSTT2	ENSG00000099984
2953	GSTT2	ENSG00000277897
2954	GSTZ1	ENSG00000100577
2977	GUCY1A2	ENSG00000152402
2982	GUCY1A1	ENSG00000164116
2983	GUCY1B1	ENSG00000061918
2986	GUCY2F	ENSG00000101890
2987	GUK1	ENSG00000143774
2990	GUSB	ENSG00000169919
2992	GYG1	ENSG00000163754
2997	GYS1	ENSG00000104812
2998	GYS2	ENSG00000111713
3000	GUCY2D	ENSG00000132518
3028	HSD17B10	ENSG00000072506
3029	HAGH	ENSG00000063854
3030	HADHA	ENSG00000084754
3032	HADHB	ENSG00000138029
3033	HADH	ENSG00000138796
3034	HAL	ENSG00000084110
3035	HARS1	ENSG00000170445
3067	HDC	ENSG00000140287
3073	HEXA	ENSG00000213614
3074	HEXB	ENSG00000049860
3081	HGD	ENSG00000113924
3098	HK1	ENSG00000156515
3099	HK2	ENSG00000159399
3101	HK3	ENSG00000160883
3141	HLCS	ENSG00000159267
3145	HMBS	ENSG00000256269
3155	HMGCL	ENSG00000117305
3156	HMGCR	ENSG00000113161
3157	HMGCS1	ENSG00000112972
3158	HMGCS2	ENSG00000134240
3162	HMOX1	ENSG00000100292
3163	HMOX2	ENSG00000103415
3163	HMOX2	ENSG00000277424
3176	HNMT	ENSG00000150540
3242	HPD	ENSG00000158104
3251	HPRT1	ENSG00000165704
3276	PRMT1	ENSG00000126457
3283	HSD3B1	ENSG00000203857
3284	HSD3B2	ENSG00000203859
3290	HSD11B1	ENSG00000117594
3291	HSD11B2	ENSG00000176387
3292	HSD17B1	ENSG00000108786
3293	HSD17B3	ENSG00000130948
3295	HSD17B4	ENSG00000133835
3373	HYAL1	ENSG00000114378
3376	IARS1	ENSG00000196305
3417	IDH1	ENSG00000138413
3418	IDH2	ENSG00000182054
3419	IDH3A	ENSG00000166411
3420	IDH3B	ENSG00000101365
3421	IDH3G	ENSG00000067829
3422	IDI1	ENSG00000067064
3423	IDS	ENSG00000010404
3425	IDUA	ENSG00000127415
3612	IMPA1	ENSG00000133731
3613	IMPA2	ENSG00000141401
3620	IDO1	ENSG00000131203
3628	INPP1	ENSG00000151689
3631	INPP4A	ENSG00000040933
3632	INPP5A	ENSG00000068383
3633	INPP5B	ENSG00000204084
3635	INPP5D	ENSG00000168918
3635	INPP5D	ENSG00000281614
3636	INPPL1	ENSG00000165458
3703	STT3A	ENSG00000134910
3704	ITPA	ENSG00000125877
3705	ITPK1	ENSG00000100605
3705	ITPK1	ENSG00000274958
3706	ITPKA	ENSG00000137825
3707	ITPKB	ENSG00000143772
3712	IVD	ENSG00000128928
3735	KARS1	ENSG00000065427
3795	KHK	ENSG00000138030
3906	LALBA	ENSG00000167531
3930	LBR	ENSG00000143815
3931	LCAT	ENSG00000213398
3938	LCT	ENSG00000115850
3939	LDHA	ENSG00000288299
3939	LDHA	ENSG00000134333
3945	LDHB	ENSG00000111716
3978	LIG1	ENSG00000105486
3980	LIG3	ENSG00000005156
3981	LIG4	ENSG00000174405
3988	LIPA	ENSG00000107798
3990	LIPC	ENSG00000166035
3992	FADS1	ENSG00000149485
4023	LPL	ENSG00000175445
4047	LSS	ENSG00000160285
4047	LSS	ENSG00000281289
4048	LTA4H	ENSG00000111144
4051	CYP4F3	ENSG00000186529
4056	LTC4S	ENSG00000213316
4056	LTC4S	ENSG00000283887
4121	MAN1A1	ENSG00000111885
4122	MAN2A2	ENSG00000196547
4124	MAN2A1	ENSG00000112893
4128	MAOA	ENSG00000189221
4129	MAOB	ENSG00000069535
4141	MARS1	ENSG00000166986
4143	MAT1A	ENSG00000151224
4144	MAT2A	ENSG00000168906
4190	MDH1	ENSG00000014641
4191	MDH2	ENSG00000146701
4199	ME1	ENSG00000065833
4200	ME2	ENSG00000082212
4257	MGST1	ENSG00000008394
4258	MGST2	ENSG00000085871
4259	MGST3	ENSG00000143198
4282	MIF	ENSG00000240972
4282	MIF	ENSG00000276701
4297	KMT2A	ENSG00000118058
4329	ALDH6A1	ENSG00000119711
4338	MOCS2	ENSG00000164172
4351	MPI	ENSG00000178802
4353	MPO	ENSG00000005381
4357	MPST	ENSG00000128309
4522	MTHFD1	ENSG00000100714
4524	MTHFR	ENSG00000177000
4534	MTM1	ENSG00000171100
4548	MTR	ENSG00000116984
4594	MMUT	ENSG00000146085
4597	MVD	ENSG00000167508
4598	MVK	ENSG00000110921
4669	NAGLU	ENSG00000108784
4677	NARS1	ENSG00000134440
4719	NDUFS1	ENSG00000283447
4719	NDUFS1	ENSG00000023228
4720	NDUFS2	ENSG00000158864
4722	NDUFS3	ENSG00000213619
4722	NDUFS3	ENSG00000285387
4723	NDUFV1	ENSG00000167792
4728	NDUFS8	ENSG00000110717
4729	NDUFV2	ENSG00000178127
4759	NEU2	ENSG00000115488
4830	NME1	ENSG00000239672
4831	NME2	ENSG00000243678
4833	NME4	ENSG00000103202
4837	NNMT	ENSG00000166741
4842	NOS1	ENSG00000089250
4843	NOS2	ENSG00000007171
4846	NOS3	ENSG00000164867
4860	PNP	ENSG00000198805
4942	OAT	ENSG00000065154
4952	OCRL	ENSG00000122126
4953	ODC1	ENSG00000115758
4967	OGDH	ENSG00000105953
5009	OTC	ENSG00000036473
5019	OXCT1	ENSG00000083720
5048	PAFAH1B1	ENSG00000007168
5053	PAH	ENSG00000171759
5091	PC	ENSG00000173599
5092	PCBD1	ENSG00000166228
5095	PCCA	ENSG00000175198
5096	PCCB	ENSG00000114054
5105	PCK1	ENSG00000124253
5106	PCK2	ENSG00000100889
5106	PCK2	ENSG00000285241
5130	PCYT1A	ENSG00000161217
5160	PDHA1	ENSG00000131828
5162	PDHB	ENSG00000168291
5167	ENPP1	ENSG00000197594
5198	PFAS	ENSG00000178921
5209	PFKFB3	ENSG00000170525
5211	PFKL	ENSG00000141959
5213	PFKM	ENSG00000152556
5214	PFKP	ENSG00000067057
5223	PGAM1	ENSG00000171314
5224	PGAM2	ENSG00000164708
5226	PGD	ENSG00000142657
5230	PGK1	ENSG00000102144
5236	PGM1	ENSG00000079739
5238	PGM3	ENSG00000013375
5277	PIGA	ENSG00000165195
5279	PIGC	ENSG00000135845
5281	PIGF	ENSG00000151665
5283	PIGH	ENSG00000100564
5286	PIK3C2A	ENSG00000011405
5287	PIK3C2B	ENSG00000133056
5288	PIK3C2G	ENSG00000139144
5289	PIK3C3	ENSG00000078142
5290	PIK3CA	ENSG00000121879
5291	PIK3CB	ENSG00000051382
5293	PIK3CD	ENSG00000171608
5294	PIK3CG	ENSG00000105851
5295	PIK3R1	ENSG00000145675
5296	PIK3R2	ENSG00000105647
5297	PI4KA	ENSG00000241973
5298	PI4KB	ENSG00000143393
5305	PIP4K2A	ENSG00000150867
5313	PKLR	ENSG00000262785
5313	PKLR	ENSG00000143627
5315	PKM	ENSG00000067225
5319	PLA2G1B	ENSG00000170890
5320	PLA2G2A	ENSG00000188257
5321	PLA2G4A	ENSG00000116711
5322	PLA2G5	ENSG00000127472
5330	PLCB2	ENSG00000137841
5331	PLCB3	ENSG00000149782
5332	PLCB4	ENSG00000101333
5333	PLCD1	ENSG00000187091
5335	PLCG1	ENSG00000124181
5336	PLCG2	ENSG00000197943
5337	PLD1	ENSG00000075651
5338	PLD2	ENSG00000129219
5351	PLOD1	ENSG00000083444
5352	PLOD2	ENSG00000152952
5372	PMM1	ENSG00000100417
5373	PMM2	ENSG00000140650
5406	PNLIP	ENSG00000175535
5407	PNLIPRP1	ENSG00000187021
5408	PNLIPRP2	ENSG00000266200
5409	PNMT	ENSG00000141744
5471	PPAT	ENSG00000128059
5498	PPOX	ENSG00000143224
5538	PPT1	ENSG00000131238
5625	PRODH	ENSG00000100033
5631	PRPS1	ENSG00000147224
5634	PRPS2	ENSG00000101911
5723	PSPH	ENSG00000146733
5728	PTEN	ENSG00000171862
5728	PTEN	ENSG00000284792
5730	PTGDS	ENSG00000107317
5740	PTGIS	ENSG00000124212
5742	PTGS1	ENSG00000095303
5743	PTGS2	ENSG00000073756
5805	PTS	ENSG00000150787
5831	PYCR1	ENSG00000183010
5833	PCYT2	ENSG00000185813
5834	PYGB	ENSG00000100994
5836	PYGL	ENSG00000100504
5837	PYGM	ENSG00000068976
5859	QARS1	ENSG00000172053
5860	QDPR	ENSG00000151552
5917	RARS1	ENSG00000113643
5959	RDH5	ENSG00000135437
5973	RENBP	ENSG00000102032
6120	RPE	ENSG00000197713
6121	RPE65	ENSG00000116745
6184	RPN1	ENSG00000163902
6185	RPN2	ENSG00000118705
6240	RRM1	ENSG00000167325
6241	RRM2	ENSG00000171848
6301	SARS1	ENSG00000031698
6303	SAT1	ENSG00000130066
6307	MSMO1	ENSG00000052802
6309	SC5D	ENSG00000109929
6342	SCP2	ENSG00000116171
6389	SDHA	ENSG00000073578
6390	SDHB	ENSG00000117118
6391	SDHC	ENSG00000143252
6392	SDHD	ENSG00000204370
6448	SGSH	ENSG00000181523
6470	SHMT1	ENSG00000176974
6470	SHMT1	ENSG00000284320
6472	SHMT2	ENSG00000182199
6476	SI	ENSG00000090402
6609	SMPD1	ENSG00000166311
6610	SMPD2	ENSG00000135587
6611	SMS	ENSG00000102172
6646	SOAT1	ENSG00000057252
6652	SORD	ENSG00000140263
6675	UAP1	ENSG00000117143
6677	SPAM1	ENSG00000106304
6697	SPR	ENSG00000116096
6713	SQLE	ENSG00000104549
6715	SRD5A1	ENSG00000145545
6716	SRD5A2	ENSG00000277893
6718	AKR1D1	ENSG00000122787
6723	SRM	ENSG00000116649
6783	SULT1E1	ENSG00000109193
6785	ELOVL4	ENSG00000118402
6799	SULT1A2	ENSG00000197165
6817	SULT1A1	ENSG00000196502
6818	SULT1A3	ENSG00000261052
6820	SULT2B1	ENSG00000088002
6821	SUOX	ENSG00000139531
6822	SULT2A1	ENSG00000105398
6839	SUV39H1	ENSG00000101945
6888	TALDO1	ENSG00000177156
6897	TARS1	ENSG00000113407
6898	TAT	ENSG00000198650
6901	TAFAZZIN	ENSG00000102125
6916	TBXAS1	ENSG00000059377
6999	TDO2	ENSG00000151790
6999	TDO2	ENSG00000262635
7054	TH	ENSG00000180176
7083	TK1	ENSG00000167900
7084	TK2	ENSG00000166548
7086	TKT	ENSG00000163931
7108	TM7SF2	ENSG00000149809
7166	TPH1	ENSG00000129167
7167	TPI1	ENSG00000111669
7172	TPMT	ENSG00000137364
7173	TPO	ENSG00000115705
7173	TPO	ENSG00000277603
7263	TST	ENSG00000128311
7264	GFUS	ENSG00000104522
7264	GFUS	ENSG00000278243
7296	TXNRD1	ENSG00000198431
7298	TYMS	ENSG00000176890
7299	TYR	ENSG00000077498
7306	TYRP1	ENSG00000107165
7357	UGCG	ENSG00000148154
7358	UGDH	ENSG00000109814
7360	UGP2	ENSG00000169764
7363	UGT2B4	ENSG00000156096
7364	UGT2B7	ENSG00000171234
7365	UGT2B10	ENSG00000109181
7365	UGT2B10	ENSG00000275190
7366	UGT2B15	ENSG00000277132
7366	UGT2B15	ENSG00000196620
7367	UGT2B17	ENSG00000197888
7368	UGT8	ENSG00000174607
7371	UCK2	ENSG00000143179
7378	UPP1	ENSG00000183696
7389	UROD	ENSG00000126088
7390	UROS	ENSG00000188690
7407	VARS1	ENSG00000204394
7407	VARS1	ENSG00000231116
7407	VARS1	ENSG00000231945
7407	VARS1	ENSG00000224264
7407	VARS1	ENSG00000096171
7407	VARS1	ENSG00000226589
7407	VARS1	ENSG00000227686
7453	WARS1	ENSG00000140105
7468	NSD2	ENSG00000109685
7498	XDH	ENSG00000158125
7841	MOGS	ENSG00000115275
7915	ALDH5A1	ENSG00000112294
7941	PLA2G7	ENSG00000146070
7991	TUSC3	ENSG00000104723
8085	KMT2D	ENSG00000167548
8228	PNPLA4	ENSG00000006757
8309	ACOX2	ENSG00000168306
8310	ACOX3	ENSG00000087008
8372	HYAL3	ENSG00000186792
8394	PIP5K1A	ENSG00000143398
8395	PIP5K1B	ENSG00000107242
8396	PIP4K2B	ENSG00000277292
8396	PIP4K2B	ENSG00000276293
8398	PLA2G6	ENSG00000184381
8399	PLA2G10	ENSG00000069764
8399	PLA2G10	ENSG00000276870
8424	BBOX1	ENSG00000129151
8443	GNPAT	ENSG00000116906
8473	OGT	ENSG00000147162
8525	DGKZ	ENSG00000149091
8526	DGKE	ENSG00000153933
8527	DGKD	ENSG00000077044
8527	DGKD	ENSG00000280873
8528	DDO	ENSG00000203797
8529	CYP4F2	ENSG00000186115
8540	AGPS	ENSG00000018510
8560	DEGS1	ENSG00000143753
8564	KMO	ENSG00000117009
8565	YARS1	ENSG00000134684
8566	PDXK	ENSG00000160209
8574	AKR7A2	ENSG00000053371
8605	PLA2G4C	ENSG00000105499
8608	RDH16	ENSG00000139547
8611	PLPP1	ENSG00000067113
8612	PLPP2	ENSG00000141934
8613	PLPP3	ENSG00000162407
8630	HSD17B6	ENSG00000025423
8639	AOC3	ENSG00000131471
8644	AKR1C3	ENSG00000196139
8659	ALDH4A1	ENSG00000159423
8681	JMJD7-PLA2G4B	ENSG00000168970
8692	HYAL2	ENSG00000068001
8693	GALNT4	ENSG00000257594
8694	DGAT1	ENSG00000185000
8694	DGAT1	ENSG00000285482
8702	B4GALT4	ENSG00000121578
8704	B4GALT2	ENSG00000117411
8731	RNMT	ENSG00000101654
8732	RNGTT	ENSG00000111880
8760	CDS2	ENSG00000101290
8776	MTMR1	ENSG00000063601
8789	FBP2	ENSG00000130957
8790	FPGT	ENSG00000254685
8801	SUCLG2	ENSG00000172340
8802	SUCLG1	ENSG00000163541
8803	SUCLA2	ENSG00000136143
8813	DPM1	ENSG00000000419
8818	DPM2	ENSG00000136908
8821	INPP4B	ENSG00000109452
8824	CES2	ENSG00000172831
8833	GMPS	ENSG00000163655
8836	GGH	ENSG00000137563
8854	ALDH1A2	ENSG00000128918
8867	SYNJ1	ENSG00000159082
8871	SYNJ2	ENSG00000078269
8876	VNN1	ENSG00000112299
8877	SPHK1	ENSG00000176170
8879	SGPL1	ENSG00000166224
8897	MTMR3	ENSG00000100330
8898	MTMR2	ENSG00000087053
8908	GYG2	ENSG00000056998
8942	KYNU	ENSG00000115919
8972	MGAM	ENSG00000257335
8972	MGAM	ENSG00000282607
8985	PLOD3	ENSG00000106397
9023	CH25H	ENSG00000138135
9107	MTMR6	ENSG00000139505
9108	MTMR7	ENSG00000003987
9110	MTMR4	ENSG00000108389
9162	DGKI	ENSG00000157680
9227	LRAT	ENSG00000121207
9249	DHRS3	ENSG00000162496
9331	B4GALT6	ENSG00000118276
9334	B4GALT5	ENSG00000158470
9380	GRHPR	ENSG00000137106
9415	FADS2	ENSG00000134824
9420	CYP7B1	ENSG00000172817
9446	GSTO1	ENSG00000148834
9453	GGPS1	ENSG00000152904
9468	PCYT1B	ENSG00000102230
9469	CHST3	ENSG00000122863
9487	PIGL	ENSG00000108474
9489	PGS1	ENSG00000087157
9514	GAL3ST1	ENSG00000128242
9517	SPTLC2	ENSG00000100596
9524	TECR	ENSG00000099797
9536	PTGES	ENSG00000148344
9562	MINPP1	ENSG00000107789
9588	PRDX6	ENSG00000117592
9615	GDA	ENSG00000119125
9651	PLCH2	ENSG00000149527
9651	PLCH2	ENSG00000276429
9663	LPIN2	ENSG00000101577
9677	PPIP5K1	ENSG00000168781
9739	SETD1A	ENSG00000099381
9757	KMT2B	ENSG00000272333
9791	PTDSS1	ENSG00000156471
9807	IP6K1	ENSG00000176095
9843	HEPH	ENSG00000089472
9869	SETDB1	ENSG00000143379
9896	FIG4	ENSG00000112367
9926	LPGAT1	ENSG00000123684
9945	GFPT2	ENSG00000131459
10005	ACOT8	ENSG00000101473
10007	GNPDA1	ENSG00000113552
10020	GNE	ENSG00000159921
10056	FARSB	ENSG00000116120
10135	NAMPT	ENSG00000105835
10157	AASS	ENSG00000008311
10162	LPCAT3	ENSG00000111684
10170	DHRS9	ENSG00000073737
10196	PRMT3	ENSG00000185238
10201	NME6	ENSG00000172113
10229	COQ7	ENSG00000167186
10243	GPHN	ENSG00000171723
10249	GLYAT	ENSG00000149124
10327	AKR1A1	ENSG00000117448
10331	B3GNT3	ENSG00000179913
10352	WARS2	ENSG00000116874
10390	CEPT1	ENSG00000134255
10400	PEMT	ENSG00000133027
10419	PRMT5	ENSG00000100462
10423	CDIPT	ENSG00000103502
10434	LYPLA1	ENSG00000120992
10449	ACAA2	ENSG00000167315
10498	CARM1	ENSG00000142453
10554	AGPAT1	ENSG00000227642
